  Train Batch 81/582, Loss: 3.3090, Speed: 2.02 batches/sec
  Train Batch 101/582, Loss: 3.3142, Speed: 1.93 batches/sec
  Train Batch 121/582, Loss: 3.3446, Speed: 1.78 batches/sec
  Train Batch 141/582, Loss: 3.3288, Speed: 1.72 batches/sec
  Train Batch 161/582, Loss: 3.4094, Speed: 1.75 batches/sec
  Train Batch 181/582, Loss: 3.3023, Speed: 1.19 batches/sec
  Train Batch 201/582, Loss: 3.3026, Speed: 1.88 batches/sec
  Train Batch 221/582, Loss: 3.3198, Speed: 1.89 batches/sec
  Train Batch 241/582, Loss: 3.3090, Speed: 1.72 batches/sec
  Train Batch 261/582, Loss: 3.3174, Speed: 1.91 batches/sec
  Train Batch 281/582, Loss: 3.3060, Speed: 1.70 batches/sec
  Train Batch 301/582, Loss: 3.3211, Speed: 1.58 batches/sec
  Train Batch 321/582, Loss: 3.3765, Speed: 1.77 batches/sec
  Train Batch 341/582, Loss: 3.3153, Speed: 1.66 batches/sec
  Train Batch 361/582, Loss: 3.3189, Speed: 1.34 batches/sec
  Train Batch 381/582, Loss: 3.3720, Speed: 0.96 batches/sec
  Train Batch 401/582, Loss: 3.2994, Speed: 1.49 batches/sec
  Train Batch 421/582, Loss: 3.3391, Speed: 1.39 batches/sec
  Train Batch 441/582, Loss: 3.3662, Speed: 1.46 batches/sec
  Train Batch 461/582, Loss: 3.3123, Speed: 1.63 batches/sec
  Train Batch 481/582, Loss: 3.2925, Speed: 1.63 batches/sec
  Train Batch 501/582, Loss: 3.2971, Speed: 1.81 batches/sec
  Train Batch 521/582, Loss: 3.3534, Speed: 1.67 batches/sec
  Train Batch 541/582, Loss: 3.3371, Speed: 1.36 batches/sec
  Train Batch 561/582, Loss: 3.3274, Speed: 1.58 batches/sec
  Train Batch 581/582, Loss: 3.3256, Speed: 1.67 batches/sec
Epoch 9 Training - Avg Loss: 3.3240, Time: 358.18 sec
Epoch 9 Validation - Avg Loss: 3.3417, Avg Accuracy: 0.1507, Time: 7.88 sec

Epoch 10/20
  Train Batch 1/582, Loss: 3.2951, Speed: 0.69 batches/sec
  Train Batch 21/582, Loss: 3.3013, Speed: 1.78 batches/sec
  Train Batch 41/582, Loss: 3.3118, Speed: 1.82 batches/sec
  Train Batch 61/582, Loss: 3.3013, Speed: 1.36 batches/sec
  Train Batch 81/582, Loss: 3.3141, Speed: 1.77 batches/sec
  Train Batch 101/582, Loss: 3.3497, Speed: 1.72 batches/sec
  Train Batch 121/582, Loss: 3.2892, Speed: 1.80 batches/sec
  Train Batch 141/582, Loss: 3.2805, Speed: 1.68 batches/sec
  Train Batch 161/582, Loss: 3.3926, Speed: 1.70 batches/sec
  Train Batch 181/582, Loss: 3.3622, Speed: 1.36 batches/sec
  Train Batch 201/582, Loss: 3.3234, Speed: 1.84 batches/sec
  Train Batch 221/582, Loss: 3.3527, Speed: 1.62 batches/sec
  Train Batch 241/582, Loss: 3.2827, Speed: 1.87 batches/sec
  Train Batch 261/582, Loss: 3.3069, Speed: 1.72 batches/sec
  Train Batch 281/582, Loss: 3.3517, Speed: 1.78 batches/sec
  Train Batch 301/582, Loss: 3.3053, Speed: 1.80 batches/sec
  Train Batch 321/582, Loss: 3.3496, Speed: 1.84 batches/sec
  Train Batch 341/582, Loss: 3.3687, Speed: 2.03 batches/sec
  Train Batch 361/582, Loss: 3.3722, Speed: 1.52 batches/sec
  Train Batch 381/582, Loss: 3.3605, Speed: 1.67 batches/sec
  Train Batch 401/582, Loss: 3.3152, Speed: 1.26 batches/sec
  Train Batch 421/582, Loss: 3.3251, Speed: 1.24 batches/sec
  Train Batch 441/582, Loss: 3.3299, Speed: 1.68 batches/sec
  Train Batch 461/582, Loss: 3.3150, Speed: 1.79 batches/sec
  Train Batch 481/582, Loss: 3.3864, Speed: 1.76 batches/sec
  Train Batch 501/582, Loss: 3.2847, Speed: 1.47 batches/sec
  Train Batch 521/582, Loss: 3.3112, Speed: 1.72 batches/sec
  Train Batch 541/582, Loss: 3.3475, Speed: 1.62 batches/sec
  Train Batch 561/582, Loss: 3.3166, Speed: 1.77 batches/sec
  Train Batch 581/582, Loss: 3.3346, Speed: 1.49 batches/sec
